Name,Adv,Rem,Mod,Neg,Pro,Sum
"Aiwass, the Magistus Spell Spirit",,1,1,,,
Akashic Magician,1,1,,,,
Alien Stealthbuster,,1,,,,
"Alsei, the Sylvan High Protector",1,1,,,,
Altergeist Meluseek,1,1,,,,
Altergeist Memorygant,,1,1,,1,
Altergeist Silquitous,1,1,,,,
Amaterasu,1,1,1,,,
Amazoness Golden Whip Master,1,1,1,,,
Amphibious Bugroth MK-11,,1,1,,,
Ancient Gear Hydra,,1,,,,
Ancient Gear Reactor Dragon,,1,,,,
Ancient Pixie Dragon,1,1,,,,
Ancient Warriors - Eccentric Lu Jing,1,1,,,,
Ancient Warriors - Masterful Sun Mou,1,1,,,,
Ancient Warriors Oath - Double Dragon Lords,1,1,1,,,
Annihilator Archfiend,,1,1,,,
Ape Magician,,1,,,,
Apoqliphort Skybase,,1,,,1,
Apoqliphort Towers,,1,1,,1,
Appliancer Laundry Dragon,,1,,,,
Appliancer Vacculephant,,1,,,,
Archfiend Eccentrick,,1,,,,
"Archfiend Emperor, the First Lord of Horror",,1,1,,,
Armed Dragon Thunder LV10,,1,1,,1,
Armityle the Chaos Phantasm - Phantom of Fury,,1,1,,,
Aromage Cananga,,1,1,,,
Aromaseraphy Sweet Marjoram,1,1,,,1,
Artifact Durendal,1,1,,,,
"Artorigus, King of the Noble Knights",1,1,,,,
Assault Blackwing - Raikiri the Rain Shower,,1,,,,
Baba Barber,,1,,,,
Battlin' Boxer Rabbit Puncher,,1,,,,
Beginning Knight,1,1,,,,
Beyond the Pendulum,1,1,,,,
Binary Blader,,1,,,,
Bird of Paradise Lost,,1,1,,,
Black Dragon Ninja,,1,,,,
Black Luster Soldier - Sacred Soldier,1,1,,,,
Black Luster Soldier - Soldier of Chaos,,1,1,,1,
Black Rose Moonlight Dragon,,1,,,,
Blackwing Full Armor Master,,1,,,1,
Bloom Diva the Melodious Choir,,1,,,1,
Blue-Eyes Alternative Ultimate Dragon,,1,,,1,
BM-4 Blast Spider,,1,,,,
Borreload Dragon,,1,1,,1,
Brave-Eyes Pendulum Dragon,,1,1,1,,
Breaker the Dark Magical Warrior,,1,1,,,
Brotherhood of the Fire Fist - Bear,1,1,,,,
Brotherhood of the Fire Fist - Cardinal,,1,,,,
Brotherhood of the Fire Fist - Gorilla,1,1,,,,
Brotherhood of the Fire Fist - Peacock,,1,,,,
Brotherhood of the Fire Fist - Swan,,1,,,,
Brute Enforcer,,1,,,,
Bujingi Centipede,,1,,,,
Bujingi Quilin,,1,,,,
Bujingi Raven,,1,,,,
Bull Blader,,1,,,,
"Buster Blader, the Destruction Swordmaster",,1,1,,,
Caius the Mega Monarch,,1,,,,
Cameraclops,,1,,,,
"Castel, the Skyblaster Musketeer",,1,1,,,
Chachaka Archer,,1,,,,
Chimeratech Rampage Dragon,,1,,,,
Constellar Pleiades,,1,,,,
Coordius the Triphasic Dealmon,1,1,1,,,
Coral Dragon,1,1,,,,
Crow Tengu,,1,,,,
Cyber Angel Dakini,1,1,,,,
Cyber Angel Izana,,1,,,,
Cyber Angel Vrash,,1,,1,,
Cyber Slash Harpie Lady,,1,1,,,
D/D/D Duo-Dawn King Kali Yuga,1,1,,1,,
D/D/D Super Doom King Bright Armageddon,1,1,,1,1,
"Demise, Supreme King of Armageddon",,1,1,,1,
"Dingirsu, the Orcust of the Evening Star",,1,,,1,
Doomstar Magician,1,1,,,,
Draco Berserker of the Tenyi,,1,1,,,
Dragunity Knight - Areadbhair,,1,,1,,
Drytron Meteonis Draconids,,1,,,1,
Dual Avatar - Empowered Kon-Gyo,,1,,1,,
El Shaddoll Construct,1,1,,,,
Eldlich the Mad Golden Lord,,1,1,,1,
Evigishki Soul Ogre,,1,,,,
Evilswarm Exciton Knight,,1,,,,
Evilswarm Ouroboros,,1,,,,
Exosister Asophiel,,1,,,1,
Exosister Mikailis,1,1,,,1,
Five-Headed Link Dragon,,1,,,1,
Flash Charge Dragon,,1,,1,,
Fossil Warrior Skull Knight,,1,,,,
Galaxy-Eyes Solflare Dragon,1,1,,,,
Gilti-Gearfried the Magical Steel Knight,,1,1,1,,
Gishki Zielgigas,1,1,,,,
"Gorgon, Empress of the Evil Eyed",,1,1,1,,
Gorgonic Guardian,,1,1,1,,
"Harr, Generaider Boss of Storms",,1,,1,,
Hazy Flame Basiltrice,,1,1,,1,
Hi-Speedroid Kitedrake,1,1,,1,,
Inzektor Exa-Beetle,1,1,1,,,
Jinzo - Layered,,1,,,,
Knightmare Cerberus,1,1,,,1,
Knightmare Phoenix,1,1,,,1,
Knightmare Unicorn,1,1,,,,
"Longirsu, the Orcust Orchestrator",,1,,,1,
Magikey Fiend - Transfurlmine,1,1,,,,
Masterflare Hyperion,,1,1,,,
Mekk-Knight Crusadia Avramax,,1,1,,1,
Metaphys Horus,,1,,1,1,
Mirrorjade the Iceblade Dragon,,1,,,,
Myutant Synthesis,1,1,,,1,
Nekroz of Trishula,,1,,1,,
Number 11: Big Eye,,1,,,,
"Number 23: Lancelot, Dark Knight of the Underworld",,1,,1,,
Number 4: Stealth Kragen,,1,1,,,
Number 74: Master of Blades,,1,,1,,
Number C104: Umbral Horror Masquerade,,1,,1,,
Numeral Hunter,,1,,,1,
Odd-Eyes Vortex Dragon,,1,,1,,
Old Entity Hastorr,1,1,,1,,
Performapal Turn Trooper,,1,,1,,
Predaplant Chimerafflesia,1,1,1,,,
Primathmech Laplacian,,1,,,1,
Protector of The Agents - Moon,1,1,,,,
Psychic End Punisher,,1,,,1,
Quintet Magician,,1,,,1,
Raging Storm Dragon - Beaufort IX,,1,,1,,
Raiza the Mega Monarch,,1,,,,
Ravenous Crocodragon Archethys,1,1,1,,,
Red-Eyes Dark Dragoon,,1,1,1,1,
Ruddy Rose Dragon,,1,,,1,
S-Force Justify,,1,,1,,
Signal Warrior,1,1,,,1,
"Simorgh, Lord of the Storm",1,1,,,1,
Skeletal Dragon Felgrand,,1,,1,,
Sky Cavalry Centaurea,,1,,,1,
Sky Striker Ace - Zeke,,1,1,,,
"Starry Night, Starry Dragon",,1,,,1,
Starving Venom Fusion Dragon,,1,1,,,
Stellar Wind Wolfrayet,,1,1,,,
Sunavalon Dryatrentiay,1,1,,,1,
Super Quantal Mech Beast Grampulse,,1,,,,
Super Quantal Mech Beast Magnaliger,,1,,,,
Swordsoul Sinister Sovereign - Qixing Longyuan,1,1,,,,
Swordsoul Supreme Sovereign - Chengying,,1,1,,1,
The Arrival Cyberse @Ignister,,1,1,,1,
Thunder End Dragon,,1,,,,
Time Thief Double Barrel,,1,1,1,,
Time Thief Redoer,1,1,,,,
Topologic Bomber Dragon,,1,,,,
Tornado Dragon,,1,,,,
Traptrix Myrmeleo,1,1,,,1,
Tri-Brigade Shuraig the Ominous Omen,1,1,,,,
Tyrant Red Dragon Archfiend,,1,1,1,,
Virtual World Beast - Jiujiu,,1,,,1,
Virtual World Shell - Jaja,,1,,,1,
Vylon Omega,1,1,,1,,
Wind Pegasus @Ignister,,1,,,,
Windwitch - Diamond Bell,,1,,,,
X-Saber Souza,,1,,,1,
"Zerrziel, Ruler of the Evil Eyed",,1,,1,,
A-Assault Core,1,,,,1,1
Abyss Actor - Curtain Raiser,1,,1,,,1
Abyss Actor - Mellow Madonna,1,,1,,,1
Accel Synchron,,,1,,,1
Ad Libitum of Despia,,,1,,,1
Albaz the Ashen,,,1,,1,1
Alghoul Mazera,,,1,,1,1
"Alich, Malebranche of the Burning Abyss",,,,1,,1
All-Eyes Phantom Dragon,,,1,1,,1
Altergeist Dragvirion,,,,1,,1
Altergeist Kunquery,,,,1,,1
Aluber the Jester of Despia,1,,,1,,1
Amazement Assistant Delia,1,,,,,1
Amazoness Augusta,,,,,1,1
Amazoness Baby Tiger,,,1,,,1
Amazoness Empress,,,,,1,1
Amazoness Princess,1,,1,,,1
Amulet Dragon,,,1,,,1
Ancient Warriors - Ambitious Cao De,,,,,1,1
Ancient Warriors - Ingenious Zhuge Kong,,,,1,,1
Ancient Warriors - Valiant Zhang De,,,1,,,1
Anesthrokket Dragon,,,,1,,1
Angel of Zera,,,1,,,1
Apple Magician Girl,1,,1,,,1
Appliancer Copybokkle,,,1,,,1
Apprentice Illusion Magician,1,,1,,,1
Arcana Extra Joker,1,,,1,,1
Archfiend Giant,,,,,1,1
Archfiend's Ascent,,,1,,1,1
Archfiend's Awakening,,,1,,1,1
Archfiend's Call,,,1,,1,1
Archfiend's Manifestation,,,1,,,1
Armed Dragon Thunder LV3,1,,1,,,1
Armed Dragon Thunder LV5,1,,1,,,1
Armed Dragon Thunder LV7,1,,1,,,1
Artifact Achilleshield,,,,,1,1
Artifact Aegis,,,,,1,1
Ascension Sky Dragon,,,1,,,1
Assault Blackwing - Chidori the Rain Sprinkling,,,1,,,1
Assault Blackwing - Kunai the Drizzle,,,1,,,1
Assault Sentinel,,,1,,,1
Astra Ghouls,,,1,,,1
Astral Kuriboh,,,,,1,1
A-to-Z-Dragon Buster Cannon,,,,1,,1
Attachment Cybern,,,1,,,1
Auram the World Chalice Blademaster,,,1,,,1
Azure-Eyes Silver Dragon,,,,,1,1
B.E.S. Big Core MK-3,,,,,1,1
B.E.S. Blaster Cannon Core,,,,,1,1
Batteryman Solar,,,1,,,1
Battleguard Cadet,1,,1,,,1
Battlewasp - Ballista the Armageddon,,,1,,,1
B-Buster Drake,1,,,,1,1
Beatraptor,,,,1,,1
Beetrooper Assault Roller,1,,1,,,1
Beetrooper Sting Lancer,1,,,,,1
Berry Magician Girl,1,,1,,,1
"Bi'an, Earth of the Yang Zing",,,,,1,1
Bite Bug,,,1,,,1
Black Fang Magician,,,1,,,1
Black Metal Dragon,,,1,,,1
Blackwing - Boreastorm the Wicked Wind,,,1,,,1
Blackwing - Gladius the Midnight Sun,,,,,1,1
Blackwing - Harmattan the Dust,,,1,,,1
Blackwing - Kris the Crack of Dawn,,,,,1,1
Blackwing - Nothung the Starlight,,,1,,,1
Blackwing - Oroshi the Squall,,,1,,,1
Blade Garoodia the Cubic Beast,1,,1,,,1
"Blazing Cartesia, the Virtuous",1,,,,,1
Block Dragon,1,,,,1,1
Blue Flame Swordsman,,,1,,,1
"Bluebeard, the Plunder Patroll Shipwright",1,,,,,1
Blue-Eyes Solid Dragon,,,,1,,1
Blue-Eyes Spirit Dragon,,,,1,,1
Blue-Eyes Tyrant Dragon,1,,,,1,1
Booster Dragon,,,1,,,1
Boot-Up Corporal - Command Dynamo,,,1,,,1
Borrelend Dragon,,,,1,1,1
Borrelguard Dragon,,,1,,1,1
Borreload eXcharge Dragon,,,1,,1,1
BOXer,,,,,1,1
"Bravo, Fighter Fur Hire",,,1,,,1
Brigrand the Glory Dragon,1,,,,1,1
Brilliant Rose,,,1,,,1
Brotherhood of the Fire Fist - Panda,,,,,1,1
Brotherhood of the Fire Fist - Swallow,1,,,,1,1
Brotherhood of the Fire Fist - Tiger King,1,,,1,,1
Buster Dragon,1,,1,,,1
Buster Gundil the Cubic Behemoth,1,,1,,,1
Canon the Melodious Diva,,,1,,,1
Capricious Darklord,,,1,,,1
Carboneddon,,,1,,,1
Catche Eve L2,,,1,,,1
"Catoblepas, Familiar of the Evil Eye",,,,,1,1
C-Crush Wyvern,1,,,,1,1
"Chaos Ruler, the Chaotic Magical Dragon",1,,,,,1
Chaos Summoning Beast,1,,,,,1
Charming Resort Staff,1,,1,,,1
Checksum Dragon,,,,,1,1
Chemicritter Oxy Ox,,,1,,,1
Chimeratech Megafleet Dragon,,,1,,,1
Chobham Armor Dragon,1,,,,1,1
Chocolate Magician Girl,1,,1,,,1
Chronicle Magician,,,1,,,1
Chronograph Sorcerer,1,,,,,1
Chronomaly Acambaro Figures,,,,,1,1
Chronomaly Gordian Knot,,,1,,,1
Chronomaly Magella Globe,1,,,,,1
Chronomaly Nebra Disk,1,,,,,1
Cipher Biplane,1,,1,,,1
Cipher Mirror Knight,1,,,,,1
Cipher Wing,,,1,,,1
Citadel Whale,1,,,1,,1
Clear Kuriboh,1,,,1,,1
Clear Wing Fast Dragon,1,,1,1,,1
Clock Lizard,,,1,,,1
Clock Spartoi,1,,,,,1
Clock Wyvern,,,1,,,1
Cocatorium the Heavy Metal Avian,,,1,,,1
Cockadoodledoo,,,1,,,1
Code Exporter,1,,,,,1
Confronting the "C",,,,,1,1
Constellar Siat,,,1,,,1
Constellar Sombre,1,,,,,1
Construction Train Signal Red,,,,,1,1
Converging Wills Dragon,,,1,,,1
Cosmic Slicer Zer'oll,1,,1,,,1
Cosmo Brain,,,1,,,1
"Crealtar, the Impcantation Originator",,,1,,,1
Crimson Nova the Dark Cubic Lord,,,,,1,1
Cross Debug,,,1,,1,1
Cross Keeper,1,,,,,1
Cross-Sheep,1,,1,,,1
"Crowley, the Magistus of Grimoires",1,,1,,,1
Crusadia Arboria,,,,,1,1
Crusadia Draco,1,,,,,1
Crystal Beast Rainbow Dragon,1,,,,,1
Crystron Ametrix,,,1,,,1
Crystron Smiger,1,,,,,1
Crystron Thystvern,1,,,,,1
Cupid Fore,,,1,,,1
CXyz Barian Hope,,,1,,,1
CXyz N.As.Ch. Knight,,,,,1,1
Cyber Dragon Core,1,,1,,,1
Cyber Dragon Nachster,,,1,,,1
Cyber Dragon Nova,,,1,,,1
Cyber Dragon Vier,,,1,,,1
Cyber Eternity Dragon,,,,,1,1
Cyber Pharos,1,,,,,1
Cyber Tutubon,1,,,,,1
Cyberse Enchanter,,,1,1,,1
D/D/D Flame High King Genghis,,,,1,,1
Danmari @Ignister,,,,1,,1
Dark Requiem Xyz Dragon,,,1,1,,1
Despian Comedy,,,,1,,1
"Dogmatika Ecclesia, the Virtuous",1,,,,1,1
"Dogmatika Fleurdelis, the Knighted",,,1,1,,1
Dragonmaid Sheou,,,,1,,1
Electric Jellyfish,,,1,1,,1
Fantastical Dragon Phantazmay,1,,,1,,1
Full Armored Crystalzero Lancer,,,1,1,1,1
Gatchiri @Ignister,,,,1,1,1
General Wayne of the Ice Barrier,1,,,,,1
Marincess Great Bubble Reef,1,,1,,,1
Mitsu the Insect Ninja,,,1,1,,1
Silent Magician,,,1,1,,1
Simorgh of Darkness,,,,1,,1
Steelswarm Origin,,,,,1,1
Tearlaments Rulkallos,,,,1,1,1
Tenyi Spirit - Mapura,,,,1,,1
The Bystial Alba Los,,,,1,,1
The Bystial Lubellion,1,,,,,1
Transcode Talker,,,1,,1,1
Triple Burst Dragon,,,,1,,1
Wandering Gryphon Rider,,,,1,,1
"Yuki-Onna, the Icicle Mayakashi",,,,1,,1
Absolute King Back Jack,1,,,,,
Abyss Actor - Evil Heel,1,,1,,,
Abyss Actor - Leading Lady,1,,1,,,
Abyss Actor - Superstar,1,,,,,
Abyss Actor - Wild Hope,1,,1,,,
Achichi @Ignister,1,,,,,
Adamancipator Crystal - Dragite,1,,,,,
Advanced Crystal Beast Amber Mammoth,1,,,1,,
Advanced Crystal Beast Amethyst Cat,1,,,,,
Advanced Crystal Beast Cobalt Eagle,1,,,,,
Advanced Crystal Beast Emerald Tortoise,1,,1,,,
Advanced Crystal Beast Sapphire Pegasus,1,,,,,
Advanced Crystal Beast Topaz Tiger,1,,1,,,
"Ahrima, the Wicked Warden",1,,,,,
Alchemic Magician,1,,1,,,
Aleister the Invoker,1,,1,,,
Aleister the Invoker of Madness,1,,1,,,
Aloof Lupine,1,,,,,
"Alpacaribou, Mystical Beast of the Forest",,,,,1,
Altergeist Fifinellag,,,,,1,
Altergeist Hexstia,1,,1,1,,
Altergeist Pixiel,1,,,,,
Altergeist Pookuery,1,,,,,
Amazement Ambassador Bufo,1,,,,,
Amazement Attendant Comica,1,,,,,
Amazoness Silver Sword Master,1,,1,,,
"Amorphactor Pain, the Imagination Dracoverlord",1,,,1,,
Ancient Gear Ballista,1,,1,,,
Ancient Gear Box,1,,,,,
Ancient Gear Golem - Ultimate Pound,1,,,,,
Ancient Gear Wyvern,1,,,,,
Ancient Warriors - Deceptive Jia Wen,1,,1,,,
Ancient Warriors - Graceful Zhou Gong,1,,,1,,
Ancient Warriors - Savage Don Ying,1,,,,,
Angmarl the Fiendish Monarch,1,,,,,
Animadorned Archosaur,1,,,,,
"Apollousa, Bow of the Goddess",,,1,1,,
Appliancer Breakerbuncle,,,,,1,
Appliancer Celtopus,1,,1,,1,
Appliancer Dryer Drake,,,1,1,,
Aqua Armor Ninja,,,,1,,
Aquaactress Arowana,1,,,,,
Aquaactress Tetra,1,,,,,
Aratama,1,,,,,
Arc Rebellion Xyz Dragon,,,1,1,1,
Archfiend Heiress,1,,,,,
Aria the Melodious Diva,,,,,1,
Arianna the Labrynth Servant,1,,,,,
"Ariel, Priestess of the Nekroz",1,,1,,,
"Arionpos, Serpent of the Ghoti",1,,,,,
Armed Protector Dragon,,,1,,1,
Armored Kappa,,,1,,1,
Aroma Jar,,,,,1,
Aromaseraphy Rosemary,,,1,1,,
"Artemis, the Magistus Moon Maiden",1,,,,,
Ash Blossom & Joyous Spring,,,,1,,
Ashura King,,,1,1,,
Assault Blackwing - Onimaru the Divine Thunder,,,1,,1,
Assault Blackwing - Sayo the Rain Hider,,,,,1,
Atlantean Dragoons,1,,,,,
Avendread Savior,1,,1,,,
Bacon Saver,,,,1,,
"Barbaroid, the Ultimate Battle Machine",,,,1,,
Barricadeborg Blocker,1,,,,1,
Batteryman 9-Volt,1,,1,,,
Battle Shogun of the Six Samurai,1,,1,,,
Battle Survivor,1,,,,,
Battlewasp - Sting the Poison,1,,,1,,
Battlin' Boxer Big Bandage,,,1,,1,
Battlin' Boxer Cheat Commissioner,1,,,,,
Battlin' Boxer Glassjaw,1,,,,,
Battlin' Boxer Headgeared,,,,,1,
Battlin' Boxer Lead Yoke,,,1,,1,
Bearblocker,,,1,,1,
Beast-Warrior Puma,1,,,,,
Beat Cop from the Underworld,,,,,1,
Beelze of the Diabolic Dragons,,,1,,1,
Beelzeus of the Diabolic Dragons,,,1,,1,
Beetrooper Light Flapper,1,,,1,,
Black Ray Lancer,,,,1,,
Blackwing - Chinook the Snow Blast,,,1,1,,
Blackwing - Pinaki the Waxing Moon,1,,,,,
Blackwing - Shamal the Sandstorm,1,,,,,
Bloom Prima the Melodious Choir,1,,1,,,
